
ভাবী,ভবিষ্যতে হবে এমন
দূরদর্শী,বর্তমান ও ভবিষ্যতের বিচার
করযোগ্য,যা দ্বারা কাজ করা সম্ভব
বুলবুল,বল দ্বারা প্রতিস্থাপিত
মোক্ষসা,বর বিমুক্ত
ভাষণ,যা অলক্ষিত উক্তি
দোহাজানি,যা দোহাই যায়
মনমুখী,যা প্রকাশ করতে চান
আবালবৃদ্ধবনিতা,বালক বৃদ্ধ ও বনিতা সাধারণ
বায়ুমণ্ডল,বায়ুমণ্ডল যা জোরা থাকে
বারামখানা,বারামখানা কাহিনী
বায়ব,বায়ুর বা হাওয়া
সদর,বাড়ির সম্মুখভাগ
কুঁড়ি,বাতাসের মাধ্যমে
হুল্লোড়,বাতাস ডাক
পণ্য,ব্যাবহার যোগ্য দ্রব্য
বন্দর,বানিজ্যের স্থান
বৈপরীত্য,বিপরীত ভাব
বন্যধ্বনি,বিচিত্র ডাকের শব্দ
অনপূর্ণা,বাতাসের রঙ যে নারীর দিকে জন্য ফুলের গন্ধে হয়
দিগ্বিজয়ী,বিবিধ দিন যার কাজ ছিল যিনি
বিদ্যুণ্মলাকা,বিদ্যুতের মতো অঙ্ক যার
বিদেহ,বিকৃত ডাকের শব্দ
নির্ঘাত,বিদ্যুতের ডাক
বিলাস,বিলাসবহুল ভাব
বন্দিনী,বিনা বা শৃঙ্খল
বৈপরীত্য,বিপরীত ভাব
বিজয়ী,বিপদে জয় করা যার
বিকল্প,বিপরীত করুণা
অবিশ্বাসী,বিশ্বাস নেই যার
বিবাদমান,বিবাদ করে যে
যামিক,যম সম্পর্কিত
বিদ্বান,বিদ্যা আছে যার
বৈয়াকরণ,ব্যাকরণ জানেন যিনি
বৈজ্ঞানিক,বিজ্ঞান জানেন যিনি
বাধ্য,বোঝার ভাব
বর্ণকার,বর্ণ সৃষ্টি করে যে
বক্তব্য,বাক্যের দ্বারা কৃতজ্ঞতা
বিশাল,বিগত নাম যা
বিজিগীষা,বিজাত নাম করার বাসনা
বিখ্যাত,বিবেষণ খ্যাতি আছে যার
বর্ণনীয়,ব্যবহারযোগ্য যিনি
বিনাশ্যমান,বিনষ্ট হয়েছে যা
বোঝাই,বোঝার বর
বিহগ,বিশেষাল (আকাশে) গমন করে যে
বর্ধিষ্ণু,বৃদ্ধি পাওয়ার সম্ভাবনা
বক্ষ্যমাণ,বলা হতে যাচ্ছে যা হবে
বীভৎস,বিমর্ষ করে দর্শন
বাচাল,বোধি কথা বলে যে
বার্ধক্য/বর্দ্ধমান,বার্ধক্যে যা
বৃন্দা,বর দেওয়া হয়েছে যে
নিহত,বধ করা হয়েছে
যথাবিধি,বিধিকে অতিক্রম না করে
উপহার,বিনা মূল্যে অধিক
বৈপরীত্য,বিপরীত ভাব
বাজারিক,বাজারের মতো কার্য ধার্মিক
দোপলা,বছরের দুইবার ফলন যে জমিতে
ফরফরানুগার,বাহিরে আসল জানাশোনা লক্ষ্য অর্থাৎ ক্ষণিক কাজ
গায়কী,ব্যবহার জন্য গান
ঘরকন্না,ব্যবহার করা জিনিসপত্র
জ্যাতিথি,ব্যক্ত চোখের ভাব
জানাজানি,বর্তমান দিনের জানাশোনা
নবান্য,বছরের প্রথম বৃষ্টি
বরদা,বর দেওয়ার ভাব
বাভরণাসি,বসের ফল ধারা-বাতাসের প্রতিফলন
বৃত,বরণ করা হয়েছে এমন
বোধগম্য,বুঝাতে পারা যায় এমন
বিনাশী,বিনাশ হতে যাচ্ছে এমন
বিনাশী,বিনাশ করি এমন গান
বৈমানিক,বন্য জানোয়ার যিনি
কাকলি,বিশেষ শব্দ
অয়ত্নসাধ্য,বিনা যুদ্ধে কাজ করা যায় যা
খ্যাতি,বিখ্যাত হওয়া
ঝংকার,বাজনার ধ্বনি
দুর্বহ,বাধা পায় এমন
বিজিগীষা,বিজয় লাভ করার ইচ্ছা
পরিবেদন,বড় ভাই থাকতে ছোট ভাইয়ের বিয়ে
কপোত,বাতাসে চলে যে
অনাধ্যায়,বিদ্যার অসাধ্য নেই যে
অকার্যকর,ব্যবহারযোগ্য নয় যা
বে-বন্দোবস্ত,ব্যাবহার নেই যেখানে
পরিদাতা,বহুক্ষণ ধরে অবিবাহিত থাকলে সে যেভাবে বিয়ে করে
বৈভৱ,বিবরণ দেওয়ার
বান্ধবতা,বান্ধব মতো আচরণ
বর্জ্য,ব্যয় করার উচিত নয় এমন
অবর্ষিত,বর্ষণ করা হয়নি এমন
অবলীলা,বন্য মানুষের হাসি গান
অবাধিত,বারণ করা হয়নি এমন
নিভৃতি,বাহির নিকেতের খবর
বিজিগীষা,বেড শাখাৰ ইচ্ছা
দুর্বোধ্য,বুঝতে পারা যায় এমন
নৈর্ব্যক্তিক,ব্যক্তি-সম্পর্কিত নয় এমন
পরিগণিত,বিশেষভাবে গণনা করা হয়েছে এমন
পুনর্ভ,বিমাতার ব্যবস্থার পর পুনরায় বিবাহ
বিদ্যাৎসাহী,বিদ্যার প্রসারে উদ্বুদ্ধকারী
বিপদতারিণী,বিপদ হতে উদ্ধারকারী
বিচারিত,বিবেচনা করা হচ্ছে এমন
বাগতিধ্বনি,বিনা বাণীতে যা
বোধ,বুদ্ধির উপযুক্ত
হতবুদ্ধি,বুদ্ধি হত হয়েছে যার
বীরবিক্রম,বীরোচিত প্রভাব করে যে
কিশলয়,ব্যুহের নতুন কারি শস্য বা পাতা
মৌন,বৃদ্ধির অভাব
বাচাল,দেশি কথা বলে যে
গান,বিখ্যাত গান
নাবালক,বালক ও বৃদ্ধ (নাবালক)
যশস্বী,বিখ্যাত হওয়া
অবিচারী,বিচারের জন্য কাজ করে না যে
বিশ্বজনীন,বিশ্বের জন্য হিত/বিশ্বজনদের নিমিত্ত হিত
অকেজো,ব্যাবহারের অযোগ্য
বিবাদীয়,বিবাদের যোগ্য
বহুজ্ঞ,বহু বিষয়ে জানেন যিনি
বিধানু,ব্যবস্থা করা হচ্ছে ইচ্ছুক
বিধিৎসু,ব্যবস্থা করতে ইচ্ছুক
বিবক্ষু,বানর ইচ্ছুক
বিবক্ষু,ব্যবহার ইচ্ছুক
বিবাহার্থী,বিবাহ করতে ইচ্ছুক
বিবৃত,বৃত বাগান হতে বিরত
विशेष্য,বিশেষের যোগ্য
একমুখিতা,বিশেষে বহুমুখী ইচ্ছা
ভূচর,বনের মধ্য দিয়ে চলে যে
বিখ্যাতনামা,বিখ্যাত করার ইচ্ছা
বিনাশকারী,বিনাশ করা
বিপত্তারিণী,বিপদে সাহায্য করা যায় এমন
দুঃসাধ্য,বিদ্ধ করতে কষ্টবোধ করে যে
বোধ্য,বোঝা যায় এমন
বাক্যবাণ,বাক্য ধারা বলা
নিরক্ষর,যার বর্ণ পরিচয় হয়নি
অবরুণ,যার বাধ্যবাধকতা নেই
মধ্যস্থতা,যার মধ্যস্থ ব্যবস্থা থাকে
ধার্মিক,যার ধর্ম আছে
কান্নার,যার দ্বারা শোক প্রকাশ পায়
অন্ধকার,যার দ্বারা অন্ধকার থাকে
যশস্বী,যার নাম লোকমুখে শোনা যায়
অকৃতদার,যার স্ত্রী নেই
নির্লজ্জ,যার লজ্জা বজায় নেই
অপুত্রক,যার পুত্র নেই
অকুতোভয়,যার কোনো কিছুতেই ভয় নেই
নির্দোষ,যার কোনো দোষ নেই
নিরাকার,যার কোনো আকার নেই
নির্মম,যার মমতা নেই
অকূল,যার কূল নেই
মিতাশী,যার আশার সমাপ্তি আছে
অনাসক্ত,যার কোনো কিছুতে আসক্তি নেই
নিরুপম,যার কোনো উপমা নেই
দুশ্চরিত্র,যার চরিত্র পরিষ্কার নয়
অগত্য,যার কোনো গতি নেই
অখণ্ড,যার কোনো আকার নেই
পূর্ণ,যার কোনো অভাব নেই
অক্ষত,যার কোনো ক্ষতি নেই
অসীম,যার কোনো সীমা নেই
নির্দ্য,যার দয়ার ভাব নেই
অকুতোভয়,যার কোনো কিছুতে ভয় নেই
অতুলনীয়,যার কোনো তুলনা নেই
নির্দোষ,যার কোনো দোষ নেই
অনিবার্য/অনিবাৰ্য্য,যার কোনো নিস্তার নেই
অগত্য,যার গতি নেই
অমর,যার মরণ নেই
অবন্ধু,যার কোনো বন্ধু নেই
ঠিকানাহীন,যার কোনো ঠিকানা নেই
নির্মোহ,যার কোনো কিছুর মোহ নেই
অমূল্য,যার কোনো মূল্য নেই
অকূল,যার কোনো কূল নেই
নৈশাচরিক,যা নিশাচারের উপযুক্ত
বৃদ্ধিকর,যা বৃদ্ধি দান করে
রুদ্ধ,যা বাধ্য হয়েছে
উক্ত,যা বলিত হয়েছে
সনাতন,যা বহুকাল ধরে প্রচলিত
বোধক,যা বোধে হতে
দুর্বোধ,যা বোধগম্য করা দুঃসাধ্য
বোলবোল,যা রম্য হর্ষ ধ্বনি
রোমাঞ্চকর,যা রোমক সৃষ্টি করে
শোচনীয়,যা শোকদায়ক
নীরব,যা শব্দহিন
শ্রদ্ধেয়,যা শ্রদ্ধা করার যোগ্য
অসম্ভব,যা হতে পারে না
অতাজ্য,যা ত্যাগ নয়
মৌখিক,যা শুধু ভাষায় প্রকাশ করা হয়
সর্বজনীন,যা সকলার কল্যাণের জন্য গঠিত
সর্বজনবিদিত,যা সকলের জানাশোনা
একতান,যাতে কোনটি মাত্র ভাব
দেলুখা,যাতে কোন গাম্ভীর্য বা গভীরতা থাকে না
কর্ণি,যাতে কান ধারণ করা
অনন্য/অদ্বিতীয়,যার অন্য বা দ্বিতীয় নেই
অলৌকিক,যা লোক বিদিত নয়
অলৌকিক,যা কোনো কোনো মানুষ পায় না
অমর,যা মরণশীল নয়
অহিংসা,যা হিংসা করা যায় না
অক্ষত,যা রক্ষা হচ্ছে
অরক্ষিত,যা রক্ষা করা যায় না
অন্ধ,যার চোখ নষ্ট হয়েছে
চাবুকহীন,যার চাবুক নেই
আঢ্য,যার কোনো অভাব নেই
অজ্ঞাতকুলশীল,যার কোনো জানাশোনা নেই
হীন,যার কোনো গতি নেই
আকাশী,যার নারী উপাধি
অবারিত,যার ধারা দেওয়া যায় না
প্রবাদপ্রতিম,যার নাম লোকমুখে আছে
প্রতিবন্ধী,যার স্বাভাবিক বিকাশ নেই
অচেনা,যাকে চেনা যায় না
গণিত,যাকে গণনা করা হয়েছে
ঘোষণা,যাকে ঘোষণা করা হয়
অবিশ্বাস্য,যাকে বিশ্বাস করা যায় না
যাযাবর,যার গন্তব্য স্থান নেই
গবেষক,যিনি গবেষণা করেন 
পথপ্রদর্শক,যিনি পথ দেখিয়ে চলেন 
বাগ্মী,যিনি বক্তৃতায় পটু 
স্মার্ত,যিনি স্মৃতিশাস্ত্র ভালো জানেন/বোঝেন 
বাচস্পতি,যিনি বাক্যে অতি দক্ষ 
কৃত্তিবাস,যিনি বাঘের চামড়া পরিধান করেন 
হীনম্মন্য,যিনি নিজেকে হীন মনে করেন 
বিধাতা,যিনি বিধান প্রদান করেন 
সায়মা,যুদ্ধে ব্যবহৃত ঢাক 
সংপ্তক,যুদ্ধ থেকে পলায়ন করে না যে সৈন্য 
সামরিক,যুদ্ধ সম্বন্ধীয় 
আগন্তুক,যে অপরিচিত ব্যক্তি হঠাৎ এসেছে 
কৈবল্য,যে অবস্থায় মানুষ দুঃখ পায় 
অত্যাচার,যে আচার বা প্রথা অতিক্রম করেছে 
দুরাশা,যে আশা ফলবতী হওয়ার নয় 
কৃতজ্ঞ,যে উপকারীর উপকার স্বীকার করে 
বেপরোয়া,যে কারো পরোয়া করে না 
অকর্মণ্য,যে কর্মের অযোগ্য 
নিত্যকর্ম,যে কর্ম প্রতিদিন করা হয় 
করদ,যে কর দেয় 
বাক্যবাণ,যে কথা তীরের মত মর্মভেদী 
দুর্বাক,যে কটু কথা বলে 
ভবঘুরে,যে উদ্দেশ্যহীনভাবে ঘুরে বেড়ায় 
কষ্টসহিষ্ণু,যে কষ্ট সইতে পারে 
বেয়াদব,যে আদব কায়দা জানে না 
গোমতী,যে নারীর অনেক গরু আছে 
নাছোড়বান্দা,যে ধরলে আর ছাড়ে না 
বরাহ,যে দন্তের দ্বারা ভূমি খনন করে 
কল্পতরু,যে তরু ভক্তের বাসনা পূর্ণ করে 
জাতক,যে জন্মগ্রহণ করেছে 
নিমজ্জমান,যে জলে ডুবে যাচ্ছে 
উষর,যে জমিতে কোনো ফসল হয় না 
বীরা,যে নারীর স্বামী পুত্র আছে 
সুস্মিতা,যে নারী সবসময় হাস্যমুখী 
পতিব্রতা,যে নারী স্বামীর প্রতি অনুরক্ত 
প্রগলভা,যে নারীর কথায় কোন সংকোচ নেই 
সুনয়না,যে নারীর চোখ সুন্দর 
অর্বীরা,যে নারীর স্বামী পুত্র নেই 
পুনর্ভ,যে নারীর (বিধবা) পুনরায় বিয়ে হয়েছে 
চন্দ্রমুখী,যে নারীর মুখ চন্দ্রের মতো সুন্দর 
রূপসী,যে নারীর রূপ আছে 
শুচিস্মিতা,যে নারীর হাসি শুচি 
সরীসৃপ,যে প্রাণী বুকে ভর দিয়ে চলে 
বাতায়ন,যে পথ দিয়ে বায়ু চলাচল করে 
চাতক,যে পাখি বৃষ্টির জল ছাড়া অন্য জল পান করে না 
ফেরারি,যে পলায়ন করে আত্মগোপন করেছে 
পরজীবী,যে পরকে আশ্রয় করে বাঁচে 
বীথি,যে পথের দু'ধারে গাছ থাকে 
দৈবজ্ঞ,যে ভাগ্য গণনা করে 
বিভীষিকা,যে বিষয় ভীতি উৎপাদন করে 
গুণগ্রাহী,যে ব্যক্তি গুণীর আদর করে 
বাস্তুহারা,যে বাস্তু হারিয়েছে 
দূত,যে বার্তা নিয়ে গমন করে 
চোরাবালি,যে বালির নিচে চোরা গহ্বর থাকে 
দণ্ডায়মান,যে বা যা দাঁড়িয়ে আছে 
হিসাব করে ব্যয় করে না যে,অমিতব্যয়ী 
চরিতকর্মা,যে হাতে কলমে কাজ করে দক্ষতা লাভ করেছে 
স্বল্পায়ু,যে স্বল্পকাল জীবিত থাকে 
ভীতু,যে সহজেই ভয় পায় 
কানপাতলা,যে সহজে সকলের কথা বিশ্বাস করে 
পদ্াকর,যে সরোবরে প্রচুর পদ্ম জন্মে 
সর্বজ্ঞ/সবজান্তা,যে সব জানে 
শায়িত,যা শুয়ে আছে 
সংবর্ত,যে মেঘে প্রচুর বৃষ্টি হয় 
মেঘনাদ,যে মেঘের মতো গর্জন করে 
অনন্যা,যে মেয়ের তুলনা হয় না 
মরণপণ,মরণ না হওয়া পর্যন্ত চেষ্টা করা হবে এমন প্রতিজ্ঞা সম্বলিত 
মরণশীল,মরবেই যা 
ভাগাড়,মৃত গবাদি যেখানে ফেলা হয় 
মনুষ্যসমাগমশূন্য,মানুষ যাতায়াত করে না যেখানে 
মানব,মনুর বংশধর 
মনসিজ,মনে জন্ম যার 
মন্ত্র,মনন করলে ত্রাণ পাওয়া যায় যাতে 
মেঘমেদুর,মেঘে আচ্ছন্ন হওয়ার ফলে স্নিগ্ধ 
অধোবদন,মাথা হেঁট করে আছে এমন 
অমীমাংসিত,মীমাংসা বা সমাধান হয়নি এমন 
আলোকসামান্য,মনুষ্যলোকে সাধারণ নয় এমন 
অলৌকিক,মনুষ্যের পক্ষে বা মনুষ্যলোকে অসম্ভব 
গাড়ল,মূর্খের মতো পরের বুদ্ধিতে পরিচালিত ব্যক্তি 
অনূঢ়া,যে মেয়ের বিয়ে হয়নি 
অকেজো,যা কাজের অযোগ্য 
অমিতব্যয়ী,যে হিসাব করে ব্যয় করে না 
অনুর্বর,যে ভূমি উর্বর নয় 
অকৃতদার,যে পুরুষ বিয়ে করেনি 
অতলস্পর্শ,যার তল স্পর্শ করা যায় না 
অরক্ষণীয়া,যে মেয়ের বিয়ে না দিয়ে আর রাখা যায় না 
অসম্ভব,যা হতে পারে না 
অসূর্যম্পশ্যা,যে নারী সূর্য দেখেনি 
অস্বীকার্য,যা অস্বীকার করা যায় না 
অদ্রব,যা গলে যায় না 
অপথ্যিমান,যে বস্তু অপথ্য হচ্ছে 
অধ্যাপক,যিনি অধ্যাপনা করেন 
অবিনশ্বর,যা বিনষ্ট হয় না 
অদেয়,যা দেয়া যায় না 
অসেচনক,যার দিক থেকে চক্ষু ফেরানো যায় না 
অযোধ্যা,যুদ্ধে পরাস্ত করা যায় না যে ভূমিকে 
অস্থাবর,যে সম্পত্তি স্থানান্তরিত করা যায় 
অলঙ্ঘ্য,যা লঙ্ঘন করা যায় না 
অজ্ঞাতি,যে এক বংশীয় নয় 
অদাহ্য,যা দগ্ধ হয় না 
অকিঞ্চন,যার কিছু নেই 
অর্জিত,যা অর্জন করা হয়েছে 
অনসূয়া,যে নারী অন্যের নিন্দা করে না 
অউচ্চার্য,যা উচ্চারণ করা যায় না 
অভাবিত,যা ভাবা হয়নি 
অশোভন,যা শোভা পায় না 
অলৌকিক,যা লোকে বিদিত নয় 
ঈষদকর,যা অনায়াসে সাধ্য 
উপচীয়মান,যা সঞ্চিত হচ্ছে 
উদ্ভিদ,যা ভেদ করে উঠেছে 
উনপাঁজুরে,যার পঞ্জরাস্থি ক্ষীণ 
কাকবন্ধ্যা,যে নারীর একটি মাত্র সন্তান 
কম্পমান,যা কাঁপছে 
কৃতাঞ্জলি,যে হাত জোড় করেছে 
কুণ্ঠ,যা কর্ষণ করা হচ্ছে 
ক্ষণজন্মা,যার শুভক্ষণে জন্ম 
কর্তব্য,যা করা উচিত 
গুণগ্রাহী,যে ব্যক্তি গুণীর আদর করে 
চোরাবালি,যে বালিতে পা দিলে ডুবে যেতে হয় 
ছায়াতরু,যে গাছের বিস্তর ছায়া হয় 
জীবন্ত,যা বেঁচে আছে 
জঙ্গম,যা গতিশীল 
জীবন্মৃত,যে বেঁচে থেকেও মৃতবৎ 
ত্রিকালজ্ঞ,যিনি ভূত ভবিষ্যৎ ও বর্তমানের বৃত্তান্ত জানেন 
দুর্লভ,যা বহু কষ্টে লাভ করা যায় 
দুর্লঙ্ঘ্য,যা কষ্টে লঙ্ঘন করা যায় 
দুর্জয়,যাকে কষ্টে জয় করা যায় 
দুষ্প্রাপ্য,যা সহজে পাওয়া যায় না 
দুরবগাহ,যেখানে অবগাহন করা দুঃসাধ্য 
দুরারোহ,যা আরোহণ করতে কষ্ট হয় 
দুষ্পাচ্য,যা সহজে হজম করা যায় না 
দুর্ভেদ্য,যা সহজে জানা যায় না 
দীর্ঘসূত্রী,যে কাজ করতে দেরি করে 
দাহ্য,যা সহজে পোড়ানো যায় 
দুর্মর,যা সহজে মরে না 
দুর্দম,যা সহজে দমন করা যায় না 
দুর্বিষহ,যা সহ্য করা কষ্টকর 
দুঃশাসন,যাকে শাসন করা দুঃসাধ্য 
নিরুপম,যার উপমা নেই 
নাতিশীতোষ্ণ,যা অধিক উষ্ণ বা অধিক শীতল নয় 
নগ,যা গমন করে না 
পরগাছা,যে গাছ অন্য গাছের উপর জন্মায় 
পুণ্যোদক,যে নদীর জল পুণ্যদায়ক 
প্রত্যাশীভূত,যা দৃষ্টি গোচর হয়েছে 
প্লবগ,যা লাফিয়ে চলে 
পুণ্যশ্লোক,যার কীর্তি শ্রবণে পুণ্য জন্মে 
বন্ধ্যা,যে নারীর সন্তান হয় না 
বিপত্নীক,যার স্ত্রী মারা গেছে 
বীতস্পৃহ,যার স্পৃহা দূর হয়েছে 
বীতরাগ,যার অনুরাগ দূর হয়েছে 
বিধবা,যে নারীর স্বামী মৃত 
বেহিসেবী,যার খরচের হিসাব নেই 
বেওয়ারিশ,যার দাবিদার নেই 
বিদ্যমান,যা আছে 
ভঙ্গুর,যা সহজেই ভেঙে যায় 
অনাথ,যার মা বাবা নেই 
যুইয়ুৎসু,যুদ্ধের জন্য ইচ্ছুক 
যৎপরোনাস্তি,যার পর আর কিছু নেই 
যুবজানি,যুবতী জায়া যার 
যশস্বী,যশ আছে যার 
যুধিষ্ঠির,যিনি যুদ্ধে স্থির থাকেন 
রাতকানা,যে রাতে চোখে দেখে না 
রসভজ্ঞ/রসিক,যার রসবোধ আছে 
লেহ্য,যাহা চেটে খেতে হয় 
লেলিহান,যার জিহ্বা লকলক করে 
লাজুক,যে স্বভাবতই লজ্জা পায় 
লাঘব,লঘুর ভাব 
শত্রুঘ্ন,যিনি শত্রুকে বধ করেছেন 
শরণার্থী,যে শরণ চায় 
সরীসৃপ,যে বুকে হেঁটে চলে 
স্ত্রৈণ,যে স্ত্রীর বশীভূত 
সর্বহারা,যে সব হারিয়েছে 
সর্বসহ,যে সমস্তই সহ্য করে 
সধবা,যে নারীর স্বামী বর্তমান 
স্থাবর,যে সম্পত্তি হস্তান্তর করা যায় না 
সর্বস্বান্ত,যার সর্বস্ব খোয়া গেছে 
সরোজ,যা সরোবরে জন্মে 
সহিষ্ণু,যে সহ্য করতে পারে 
সর্বজ্ঞ,সে সব জানে 
